"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1562","login with visual (visual_user)","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1686","User can login with standard_user2","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1798","login with problem (problem_user)","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1975","login with error (error_user)","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","6643","login with performanceGlitch (performance_glitch_user)","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1439","User is able to complete the main flow adding an item in the cart and finish checkout","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1135","User is able to complete the main flow adding an item in the cart and finish checkout","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","4165","login with problem (problem_user)","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1263","User can login with standard_user2","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","8918","login with performanceGlitch (performance_glitch_user)","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","2339","login with lockedOut (locked_out_user)","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","3644","login with standard (standard_user)","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","2391","login with problem (problem_user)","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1095","login with error (error_user)","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1238","User is able to complete the main flow adding an item in the cart and finish checkout","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","7264","login with performanceGlitch (performance_glitch_user)","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1842","login with lockedOut (locked_out_user)","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1083","login with visual (visual_user)","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","2492","login with standard (standard_user)","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1093","login with visual (visual_user)","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","3832","login with lockedOut (locked_out_user)","firefox","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1118","User can login with standard_user2","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1842","login with standard (standard_user)","chromium","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
"","1217","login with error (error_user)","webkit","2026-04-02","passed","2026-04-02","E2E Tests","e2e/e2e.spec.ts","",""
